INDEX,INITIAL,GENE NAME,NORMAL FUNCTION,HEALTH CONDITIONS RELATED TO GENETIC CHANGE
11,ABCC2 ,ATP binding cassette subfamily C member 2,"The ABCC2 gene provides instructions for producing a protein called multidrug resistance protein 2 (MRP2). This protein is one of a family of multidrug resistance proteins involved in the transport of substances out of cells. For example, MRP2 clears certain drugs from organs and tissues, playing a part in drug metabolism. Drug metabolism involves the breakdown of drugs into different chemical components allowing the drugs to have their intended effects and eventually be eliminated from the body. MRP2 also transports a substance called bilirubin out of liver cells and into bile (a digestive fluid produced by the liver). Bilirubin is produced during the breakdown of old red blood cells and has an orange-yellow tint.MRP2 is primarily found within the outer membrane that surrounds cells in the liver, with smaller amounts in the kidneys, intestine, and placenta.","Dubin-Johnson syndrome More than 40 mutations in the ABCC2 gene have been found to cause Dubin-Johnson syndrome. This condition is characterized by jaundice, which is a yellowing of the skin and whites of the eyes, that typically appears during adolescence or early adulthood. Most of the mutations change single protein building blocks (amino acids) in MRP2. A common mutation in Iranian Jews living in Israel who have Dubin-Johnson syndrome replaces the amino acid isoleucine with the amino acid phenylalanine at position 1173 in MRP2 (written as Ile1173Phe or I1173F). Another mutation that is seen more frequently in those affected in Israel's Moroccan-Jewish population replaces the amino acid arginine with the amino acid histidine at position 1150 in MRP2 (written as Arg1150His or R1150H).ABCC2 gene mutations that cause Dubin-Johnson syndrome have a variety of effects on the structure and function of MRP2. Mutations may alter how the protein is made, impair transport of the protein to the cell surface, or cause the protein to be broken down too quickly. All of these mutations result in a decrease or absence of MRP2 activity at the cell membrane. As a result, the body's ability to release (excrete) bilirubin is impaired. A buildup of bilirubin causes jaundice in people with Dubin-Johnson syndrome. The accumulation of other substances that usually get transported out of tissues by the MRP2 protein can cause additional signs and symptoms in people with Dubin-Johnson syndrome, but these features usually do not cause health problems. "
12,ABCC6 ,ATP binding cassette subfamily C member 6,"The ABCC6 gene provides instructions for making a protein called multidrug resistance-associated protein 6 (MRP6, also known as the ABCC6 protein). This protein is found primarily in the liver and kidneys, with small amounts in other tissues such as the skin, stomach, blood vessels, and eyes. The MRP6 protein belongs to a group of proteins that transport molecules across cell membranes; however, little is known about the substances transported by MRP6.Some studies suggest that MRP6 stimulates the release of a molecule called adenosine triphosphate (ATP) from cells through an unknown mechanism. This ATP is quickly broken down into other molecules called adenosine monophosphate (AMP) and pyrophosphate. Pyrophosphate helps control deposition of calcium (calcification) and other minerals (mineralization) in the body.Other studies suggest that MRP6 transports a substance that is involved in the breakdown of ATP. This unidentified substance is thought to help prevent mineralization of tissues.","Generalized arterial calcification of infancy At least 13 mutations in the ABCC6 gene have been identified in individuals with generalized arterial calcification of infancy (GACI), a life-threatening disorder characterized by abnormal calcification in the blood vessels that carry blood from the heart to the rest of the body (the arteries). Most of these mutations have also been identified in people with pseudoxanthoma elasticum (PXE), described below. These mutations lead to an absent or nonfunctional MRP6 protein. It is unclear how a lack of properly functioning MRP6 protein leads to GACI. This shortage may impair the release of ATP from cells. As a result, little pyrophosphate is produced and calcium accumulates in the blood vessels and other tissues affected by GACI. Alternatively, a lack of functioning MRP6 may impair the transport of a substance that would normally prevent mineralization, leading to the abnormal accumulation of calcium characteristic of GACI. It is not known why the same mutations can cause GACI in some individuals and PXE in others. "
13,ABCC8 ,ATP binding cassette subfamily C member 8,"The ABCC8 gene provides instructions for making the sulfonylurea receptor 1 (SUR1) protein. The SUR1 protein is one part (subunit) of the ATP-sensitive potassium (K-ATP) channel that is found across cell membranes in the beta cells of the pancreas. Beta cells secrete insulin, which is a hormone that helps control blood sugar levels. Insulin controls how much sugar (in the form of glucose) is passed from the bloodstream into cells to be used as energy. The K-ATP channel controls the secretion of insulin out of beta cells and into the bloodstream. These channels open and close in response to the amount of glucose in the bloodstream, which helps regulate insulin secretion and control blood sugar levels. The closing of the channels results in a process that triggers insulin secretion by beta cells.","Congenital hyperinsulinism More than 300 mutations in the ABCC8 gene have been found to cause congenital hyperinsulinism. This condition causes frequent episodes of low blood sugar (hypoglycemia), decreased energy, and irritability. Most of these mutations change single protein building blocks (amino acids) in the SUR1 protein.Some ABCC8 mutations prevent the SUR1 protein from reaching the cell membrane, interfering with the proper formation of the K-ATP channel. Other mutations interfere with the K-ATP channel's function or its responses to outside molecules. Defective K-ATP channels lead to the constant release of insulin from beta cells. As a result, glucose is rapidly removed from the bloodstream. Without treatment, the hypoglycemia caused by congenital hyperinsulinism may result in serious complications such as intellectual disability and seizures. "
14,ABCC9 ,ATP binding cassette subfamily C member 9,"The ABCC9 gene provides instructions for making the sulfonylurea receptor 2 (SUR2) protein. This protein forms one part (subunit) of a channel that transports charged atoms of potassium (potassium ions) across cell membranes. Each of these channels consists of eight subunits: four SUR2 proteins and four proteins produced from either the KCNJ8 or KCNJ11 gene. The SUR2 subunits regulate the activity of the channel, determining whether it is open or closed.Channels made with the SUR2 protein are known as ATP-sensitive potassium (K-ATP) channels. The channels open and close in response to the amount of ATP, the cell's main energy source, inside the cell. The resulting transport of potassium ions is part of a complex network of signals that relay chemical messages into and out of cells.Although K-ATP channels are present in cells and tissues throughout the body, the highest levels of SUR2-containing channels are found in skeletal and heart (cardiac) muscle. These channels indirectly help regulate the concentration of calcium ions in cells. This regulation is essential for normal heart function. The function of these channels in other tissues is unclear.","Cantú syndrome At least 14 mutations in the ABCC9 gene have been found to cause Cantú syndrome, a rare condition characterized by excess hair growth (hypertrichosis), a distinctive facial appearance, and heart defects. Each of the mutations changes a single protein building block (amino acid) in the SUR2 protein. These changes likely alter the structure of the protein and its ability to regulate the activity of K-ATP channels. Studies suggest that the abnormal channels are open when they should be closed. However, it is unknown how this problem with potassium channel function leads to excess hair growth, heart defects, and the other features of Cantú syndrome. "
15,ABCD1 ,ATP binding cassette subfamily D member 1,"The ABCD1 gene provides instructions for producing the adrenoleukodystrophy protein (ALDP). ALDP is located in the membranes of cell structures called peroxisomes. Peroxisomes are small sacs within cells that process many types of molecules. ALDP brings a group of fats called very long-chain fatty acids (VLCFAs) into peroxisomes, where they are broken down.","X-linked adrenoleukodystrophy More than 650 mutations in the ABCD1 gene have been found to cause X-linked adrenoleukodystrophy. This condition is characterized by varying degrees of cognitive and movement problems as well as hormone imbalances. The mutations that cause X-linked adrenoleukodystrophy prevent the production of any ALDP in about 75 percent of people with this disorder. Other people with X-linked adrenoleukodystrophy can produce ALDP, but the protein is not able to perform its normal function. With little or no functional ALDP, VLCFAs are not broken down, and they build up in the body. The accumulation of these fats may be toxic to the adrenal glands (small glands on top of each kidney) and to the fatty layer of insulation (myelin) that surrounds many nerves in the body. Research suggests that the accumulation of VLCFAs triggers an inflammatory response in the brain, which could lead to the breakdown of myelin. The destruction of these tissues leads to the signs and symptoms of X-linked adrenoleukodystrophy. "
16,ABCD4 ,ATP binding cassette subfamily D member 4,"The ABCD4 gene provides instructions for making a protein that is involved in the conversion of vitamin B12 (also known as cobalamin) into one of two molecules, adenosylcobalamin (AdoCbl) or methylcobalamin (MeCbl). AdoCbl is required for the normal function of an enzyme known as methylmalonyl CoA mutase. This enzyme helps break down certain protein building blocks (amino acids), fats (lipids), and cholesterol. AdoCbl is called a cofactor because it helps methylmalonyl CoA mutase carry out its function. MeCbl is also a cofactor, but for an enzyme known as methionine synthase. This enzyme converts the amino acid homocysteine to another amino acid, methionine. The body uses methionine to make proteins and other important compounds.The ABCD4 protein is found in the membrane that surrounds cell structures called lysosomes. Lysosomes are compartments within cells in which enzymes digest and recycle materials. In the lysosomal membrane, the ABCD4 protein interacts with another protein called LMBD1 (produced from the LMBRD1 gene). Together, these two proteins transport vitamin B12 out of lysosomes, making it available for further processing into AdoCbl and MeCbl.","Methylmalonic acidemia with homocystinuria At least five mutations in the ABCD4 gene have been found to cause methylmalonic acidemia with homocystinuria, cblJ type, one form of a disorder that causes developmental delay, eye defects, neurological problems, and blood abnormalities. ABCD4 gene mutations involved in this condition lead to production of an abnormal ABCD4 protein that is unable to function. A shortage of functional ABCD4 protein prevents the release of vitamin B12 from lysosomes, so the vitamin is unavailable for the production of AdoCbl and MeCbl. Because both of these cofactors are missing, the enzymes that require them (methylmalonyl CoA mutase and methionine synthase) do not function normally. As a result, certain amino acids, lipids, and cholesterol are not broken down and homocysteine cannot be converted to methionine. This dual defect results in a buildup of toxic compounds as well as homocysteine, and a decrease in the production of methionine within the body. This combination of imbalances leads to the signs and symptoms of methylmalonic acidemia with homocystinuria. "
17,ABCG2 ,ATP binding cassette subfamily G member 2 (Junior blood group),"The ABCG2 gene belongs to a group of genes called the ATP-binding cassette family; genes in this family provide instructions for making proteins that transport molecules across cell membranes. In the intestines, the ABCG2 protein helps release (secrete) a substance called urate into the urine. Urate is a byproduct of certain normal biochemical reactions in the body. In the bloodstream it acts as an antioxidant, protecting cells from the damaging effects of unstable molecules called free radicals. Urate levels are regulated by the kidneys and, to a lesser extent, by the intestines.The ABCG2 protein also transports certain drugs out of cells. For example, this protein clears some chemotherapy drugs from organs and tissues. Transport of these drugs allows them to have their intended effects and be eliminated from the body.","Gout Genetic changes in the ABCG2 gene have been found to be associated with a condition called gout, which is a form of arthritis that causes painful join inflammation.ABCG2 gene changes associated with gout decrease the protein's ability to release urate. One variant replaces the protein building block (amino acid) glutamine with the amino acid lysine at position 141 in the protein (written as Gln141Lys or Q141K). This change reduces the protein's ability to secrete urate by half. Another variant creates a premature stop signal in the instructions for making the ABCG2 protein (written as Gln126Ter or Q126X), which results in no functional ABCG2 protein. Variants in the ABCG2 gene reduce the removal of urate in the blood, which causes the blood level of urate to rise. The excess urate can accumulate in the body's joints in the form of crystals, triggering an inflammatory response from the immune system and leading to gout.While changes in the ABCG2 gene can alter urate levels in the body, they are not enough to cause gout by themselves. A combination of dietary, genetic, and other environmental factors play a part in determining the risk of developing this complex disorder. "
18,ABCG5 ,ATP binding cassette subfamily G member 5,"The ABCG5 gene provides instructions for making sterolin-1, which makes up half of a protein called sterolin. The other half of the sterolin protein, sterolin-2, is produced from a gene called ABCG8. Sterolin is involved in eliminating plant sterols, which are fatty components of plant-based foods that cannot be used by human cells.Sterolin is a transporter protein, which is a type of protein that moves substances across cell membranes. It is found mostly in cells of the intestines and liver and transports plant sterols. After plant sterols are absorbed from food into intestinal cells, the sterolin transporters in these cells pump them back into the intestinal tract. Sterolin transporters in liver cells pump the plant sterols into a fluid called bile that is released into the intestine. From the intestine, the plant sterols are eliminated with the feces. This process removes most of the dietary plant sterols, and allows only about 5 percent of these substances to get into the bloodstream. Sterolin also helps regulate levels of cholesterol, another fatty substance found in animal products, in a similar fashion; normally about 50 percent of cholesterol in the diet is absorbed by the body.","Sitosterolemia At least 24 ABCG5 gene mutations have been identified in people with sitosterolemia, which is a condition caused by accumulation of plant sterols. The mutations result in a defective sterolin transporter and impair the elimination of plant sterols and, to a lesser degree, cholesterol from the body. These fatty substances build up in the arteries, skin, and other tissues, resulting in clogged blood vessels that can impair blood flow (atherosclerosis), fatty skin growths (xanthomas), and the additional signs and symptoms of sitosterolemia. Excess plant sterols in red blood cells likely make their cell membranes stiff and prone to rupture, leading to a reduced number of red blood cells (anemia). Changes in the lipid composition of the membranes of red blood cells and platelets may account for the other blood abnormalities that sometimes occur in sitosterolemia. "
19,ABCG8 ,ATP binding cassette subfamily G member 8,"The ABCG8 gene provides instructions for making sterolin-2, which makes up half of a protein called sterolin. The other half of the sterolin protein, sterolin-1, is produced from a gene called ABCG5. Sterolin is involved in eliminating plant sterols, which are fatty components of plant-based foods that cannot be used by human cells.Sterolin is a transporter protein, which is a type of protein that moves substances across cell membranes. It is found mostly in cells of the intestines and liver and transports plant sterols. After plant sterols are absorbed from food into intestinal cells, the sterolin transporters in these cells pump them back into the intestinal tract. Sterolin transporters in liver cells pump the plant sterols into a fluid called bile that is released into the intestine. From the intestine, the plant sterols are eliminated with the feces. This process removes most of the dietary plant sterols, and allows only about 5 percent of these substances to get into the bloodstream. Sterolin also helps regulate levels of cholesterol, another fatty substance found in animal products, in a similar fashion; normally about 50 percent of cholesterol in the diet is absorbed by the body.","Sitosterolemia At least 28 ABCG8 gene mutations have been identified in people with sitosterolemia, which is a condition caused by accumulation of plant sterols. The mutations result in a defective sterolin transporter and impair the elimination of plant sterols and, to a lesser degree, cholesterol from the body. These fatty substances build up in the arteries, skin, and other tissues, resulting in clogged blood vessels that can impair blood flow (atherosclerosis), fatty skin growths (xanthomas), and the additional signs and symptoms of sitosterolemia. Excess plant sterols in red blood cells likely make their cell membranes stiff and prone to rupture, leading to a reduced number of red blood cells (anemia). Changes in the lipid composition of the membranes of red blood cells and platelets may account for the other blood abnormalities that sometimes occur in sitosterolemia. "
20,ABHD5 ,abhydrolase domain containing 5,"The ABHD5 gene provides instructions for making a protein that turns on (activates) an enzyme called adipose triglyceride lipase (ATGL). The ATGL enzyme plays a role in breaking down fats called triglycerides, which are the main source of stored energy in cells. Triglycerides are the major component of cell structures called lipid droplets (also called adiposomes). The ABHD5 protein and the ATGL enzyme are found on the surface of lipid droplets. Once activated, the ATGL enzyme breaks down triglycerides in these structures to provide energy for the body.","Chanarin-Dorfman syndrome At least 20 mutations in the ABHD5 gene have been found to cause Chanarin-Dorfman syndrome. These mutations impair the ABHD5 protein's ability to activate the ATGL enzyme. Without an active ATGL enzyme, triglycerides within lipid droplets cannot be broken down. As a result, these fats accumulate in various organs and tissues throughout the body, causing the signs and symptoms of Chanarin-Dorfman syndrome. "
21,ABL1 ,"ABL proto-oncogene 1, non-receptor tyrosine kinase","The ABL1 gene provides instructions for making a protein involved in many processes in cells throughout the body. The ABL1 protein functions as a kinase, which is an enzyme that changes the activity of other proteins by adding a cluster of oxygen and phosphorus atoms (a phosphate group) at specific positions. The ABL1 kinase is normally turned off (inactive) and must be turned on (activated) to perform its functions.The ABL1 kinase can be turned on by a number of different triggers and can add a phosphate group to many different proteins (also called substrates). This diversity allows ABL1 to be involved in a wide variety of cellular processes, including cell growth and division (proliferation), maturation (differentiation), and movement (migration). It can either aid in cell survival or trigger controlled cell death (apoptosis), depending on cellular conditions. The ABL1 kinase interacts with several proteins involved in the network of fibers called the actin cytoskeleton, which makes up the structural framework inside cells. These interactions help control cell migration and the attachment of cells to one another (adhesion), among many other processes. ABL1 can also help regulate the activity of other genes.The ABL1 gene belongs to a class of genes known as oncogenes. When mutated, oncogenes have the potential to cause normal cells to become cancerous.","Chronic myeloid leukemia A genetic rearrangement (translocation) involving the ABL1 gene causes a type of cancer of blood-forming cells called chronic myeloid leukemia. This slow-growing cancer leads to an overproduction of abnormal white blood cells. Common features of the condition include excessive tiredness (fatigue), fever, weight loss, and an enlarged spleen.The translocation involved in this condition, written as t(9;22), fuses part of the ABL1 gene from chromosome 9 with part of the BCR gene from chromosome 22, creating an abnormal fusion gene called BCR-ABL1. The abnormal chromosome 22, containing a piece of chromosome 9 and the BCR-ABL1 fusion gene, is commonly called the Philadelphia chromosome. The translocation is acquired during a person's lifetime and is present only in the abnormal blood cells. This type of genetic change, called a somatic mutation, is not inherited.The protein produced from the abnormal fusion gene, called BCR-ABL1, functions as a kinase. However, unlike the ABL1 kinase, it does not require signals in the cell to turn it on. The constantly active BCR-ABL1 protein signals cells to continue dividing abnormally and prevents them from self-destructing, which leads to overproduction of the abnormal cells.The presence of the Philadelphia chromosome provides a target for molecular therapies. "
22,ACAD8 ,acyl-CoA dehydrogenase family member 8,"The ACAD8 gene provides instructions for making an enzyme called isobutyryl-CoA dehydrogenase (IBD). This enzyme is found in mitochondria, the energy-producing centers inside cells. The IBD enzyme is involved in breaking down proteins from food. Specifically, this enzyme is responsible for the third step in the breakdown of a protein building block (amino acid) called valine. The IBD enzyme converts a molecule called isobutyryl-CoA into a molecule called methylacrylyl-CoA. Other enzymes further break down methylacrylyl-CoA into molecules that cells can use for energy.","Isobutyryl-CoA dehydrogenase deficiency At least 19 mutations in the ACAD8 gene have been found to cause isobutyryl-CoA dehydrogenase (IBD) deficiency. Some of these mutations reduce the activity of the IBD enzyme, while other mutations prevent the gene from producing any functional enzyme. As a result, valine is not broken down properly. An inability to process valine may lead to reduced energy production and the features of IBD deficiency. "
